Coefficient,Estimate,Est.Error,Q2.5,Q97.5
Intercept,-2.33,0.13,-2.60,-2.07
density,-0.01,1.89E-03,-0.01,-3.70E-03
speciesV,-0.24,0.18,-0.59,0.12
speciesS,-0.06,0.19,-0.44,0.32
density:speciesV,0.01,2.46E-03,6.72E-04,0.01
density:speciesS,-2.15E-03,2.73E-03,-0.01,3.18E-03
