Coefficient,Estimate,Est.Error,Q2.5,Q97.5
Intercept,-2.327078282557713,0.1348954378776066,-2.5986863771711928,-2.0660562915601677
density,-0.007401095365106134,0.0018865279953426968,-0.011101488800595735,-0.003703394828319079
speciesV,-0.23543641021321834,0.18321098839784317,-0.5948494088398978,0.1225811490701805
speciesS,-0.06165234503066199,0.19150967889673826,-0.43831357801289417,0.31751372565497804
density:speciesV,0.005490875743140891,0.0024576107535426712,6.724878731692907e-4,0.010355261642874236
density:speciesS,-0.0021510890666071826,0.0027319685546032674,-0.007615428696425798,0.0031774511177464285
